question_id,answer_id,target_type,target_id,weight
natural_work_type,planning_campaigns_content,job,search_marketing_strategist,1
natural_work_type,planning_campaigns_content,job,market_research_analyst,0.65
natural_work_type,planning_campaigns_content,job,public_relations_specialist,0.6
natural_work_type,planning_campaigns_content,course,market_research_methods,0.6
natural_work_type,planning_campaigns_content,course,data_visualization,0.4
natural_work_type,organizing_people_projects,job,project_management_specialist,1
natural_work_type,organizing_people_projects,job,business_operations_specialist,0.75
natural_work_type,organizing_people_projects,job,facilities_manager,0.55
natural_work_type,organizing_people_projects,course,project_management_fundamentals,1
natural_work_type,organizing_people_projects,course,operations_management,0.5
natural_work_type,improving_processes_operations,job,industrial_production_manager,1
natural_work_type,improving_processes_operations,job,quality_control_systems_manager,0.9
natural_work_type,improving_processes_operations,job,business_operations_specialist,0.75
natural_work_type,improving_processes_operations,course,operations_management,1
natural_work_type,improving_processes_operations,course,project_management_fundamentals,0.45
natural_work_type,turning_tech_into_business_value,job,business_intelligence_analyst,0.9
natural_work_type,turning_tech_into_business_value,job,management_analyst,0.7
natural_work_type,turning_tech_into_business_value,job,sales_engineer,0.65
natural_work_type,turning_tech_into_business_value,course,business_intelligence_foundations,0.9
natural_work_type,turning_tech_into_business_value,course,data_visualization,0.6
people_or_tasks,tasks,job,accountant_and_auditor,0.45
people_or_tasks,tasks,job,business_intelligence_analyst,0.45
people_or_tasks,tasks,job,data_scientist,0.35
people_or_tasks,tasks,course,auditing,0.35
people_or_tasks,tasks,course,statistics_for_decision_making,0.35
people_or_tasks,people,job,public_relations_specialist,0.55
people_or_tasks,people,job,human_resources_specialist,0.65
people_or_tasks,people,job,human_resources_manager,0.45
people_or_tasks,people,job,training_and_development_specialist,0.55
people_or_tasks,people,course,project_management_fundamentals,0.35
grad_school,yes_grad_school,job,data_scientist,0.35
grad_school,yes_grad_school,job,biostatistician,0.45
grad_school,yes_grad_school,job,economist,0.35
grad_school,yes_grad_school,job,actuary,0.25
grad_school,yes_grad_school,course,statistics_for_decision_making,0.45
skill_gaps,technical_skills,course,
